Scan:     86           I20126 2011-01-20 +19 26 30.0
                               Counts  
         GHz-LSR                 RR
      26.7702384974206922     -0.0322483
      26.7702140842739063     -0.0375920
      26.7701896711271203     -0.0275915
      26.7701652579803344     -0.0335333
      26.7701408448335485     -0.0173266
      26.7701164316867626     -0.0288676
      26.7700920185399767     -0.0080203
      26.7700676053931907     -0.0143158
      26.7700431922464048     -0.0174816
      26.7700187790996225     -0.0335901
      26.7699943659528365     -0.0234593
      26.7699699528060506     -0.0296294
      26.7699455396592647     -0.0282619
      26.7699211265124788     -0.0327556
      26.7698967133656929     -0.0377745
      26.7698723002189070     -0.0478065
      26.7698478870721210     -0.0190216
      26.7698234739253351     -0.0329837
      26.7697990607785492     -0.0405176
      26.7697746476317633     -0.0358375
      26.7697502344849774     -0.0310061
      26.7697258213381915     -0.0132502
      26.7697014081914055     -0.0485594
      26.7696769950446196     -0.0410336
      26.7696525818978337     -0.0253963
      26.7696281687510478     -0.0365434
      26.7696037556042619     -0.0205729
      26.7695793424574759     -0.0207306
      26.7695549293106936     -0.0262007
      26.7695305161639077     -0.0322269
      26.7695061030171217     -0.0398313
      26.7694816898703358     -0.0298652
      26.7694572767235499     -0.0358839
      26.7694328635767640     -0.0206984
      26.7694084504299781     -0.0225050
      26.7693840372831922     -0.0170097
      26.7693596241364062     -0.0268540
      26.7693352109896203     -0.0428080
      26.7693107978428344     -0.0261465
      26.7692863846960485     -0.0448242
      26.7692619715492626     -0.0371407
      26.7692375584024767     -0.0343510
      26.7692131452556907     -0.0239026
      26.7691887321089048     -0.0412785
      26.7691643189621189     -0.0354258
      26.7691399058153330     -0.0117893
      26.7691154926685471     -0.0279084
      26.7690910795217611     -0.0316167
      26.7690666663749788     -0.0345520
      26.7690422532281929     -0.0316438
      26.7690178400814069     -0.0410420
      26.7689934269346175     -0.0332795
      26.7689690137878316     -0.0270590
      26.7689446006410456     -0.0439615
      26.7689201874942597     -0.0481181
      26.7688957743474738     -0.0380066
      26.7688713612006879     -0.0470695
      26.7688469480539020     -0.0201249
      26.7688225349071161     -0.0351183
      26.7687981217603301     -0.0421834
      26.7687737086135442     -0.0273913
      26.7687492954667583     -0.0370921
      26.7687248823199724     -0.0338046
      26.7687004691731865     -0.0207872
      26.7686760560264005     -0.0230696
      26.7686516428796146     -0.0324925
      26.7686272297328287     -0.0352866
      26.7686028165860428     -0.0427379
      26.7685784034392569     -0.0421075
      26.7685539902924745     -0.0331362
      26.7685295771456886     -0.0321262
      26.7685051639989027     -0.0338519
      26.7684807508521168     -0.0427754
      26.7684563377053308     -0.0298806
      26.7684319245585449     -0.0321681
