Scan:      1            3C286 2011-01-30 +12 04 36.0
                               Counts  
         GHz-LSR                 RR
      26.7699651328441064      0.5647298
      26.7699407213047564      0.8014970
      26.7699163097654029      0.4884319
      26.7698918982260530      0.7683228
      26.7698674866867030      1.0005753
      26.7698430751473495      0.7899570
      26.7698186636079996      0.6512795
      26.7697942520686496      0.8087291
      26.7697698405292961      0.9389785
      26.7697454289899461      0.8526382
      26.7697210174505962      0.7148402
      26.7696966059112427      0.7926916
      26.7696721943718927      0.9149076
      26.7696477828325428      0.8269216
      26.7696233712931893      0.8375505
      26.7695989597538393      0.7450991
      26.7695745482144893      0.7730839
      26.7695501366751358      0.7742577
      26.7695257251357859      0.7311584
      26.7695013135964359      0.7502091
      26.7694769020570824      0.7854205
      26.7694524905177325      0.8343993
      26.7694280789783825      0.7843440
      26.7694036674390290      0.8085193
      26.7693792558996790      0.7872719
      26.7693548443603291      0.8033196
      26.7693304328209756      0.6963663
      26.7693060212816221      0.8049565
      26.7692816097422757      0.8326143
      26.7692571982029222      0.8058068
      26.7692327866635758      0.8326896
      26.7692083751242222      0.8213741
      26.7691839635848687      0.8283881
      26.7691595520455223      0.8182169
      26.7691351405061688      0.8025640
      26.7691107289668153      0.7839975
      26.7690863174274689      0.8110352
      26.7690619058881154      0.7740816
      26.7690374943487619      0.8455262
      26.7690130828094155      0.8474860
      26.7689886712700620      0.7833222
      26.7689642597307085      0.7852476
      26.7689398481913621      0.8294600
      26.7689154366520086      0.8589395
      26.7688910251126551      0.8213457
      26.7688666135733087      0.8046441
      26.7688422020339551      0.8321695
      26.7688177904946016      0.8727360
      26.7687933789552552      0.8110865
      26.7687689674159017      0.8048269
      26.7687445558765482      0.8000469
      26.7687201443372018      0.8764625
      26.7686957327978483      0.7996671
      26.7686713212584948      0.8292650
      26.7686469097191484      0.8944986
      26.7686224981797949      0.8698106
      26.7685980866404414      0.8589674
      26.7685736751010950      0.8483441
      26.7685492635617415      0.8650970
      26.7685248520223880      0.8458790
      26.7685004404830416      0.8537005
      26.7684760289436880      0.8045439
      26.7684516174043345      0.8671826
      26.7684272058649881      0.8168354
      26.7684027943256346      0.8543844
      26.7683783827862847      0.8718107
      26.7683539712469347      0.8565886
      26.7683295597075812      0.8463519
      26.7683051481682313      0.8336418
      26.7682807366288813      0.8785006
      26.7682563250895278      0.8364362
      26.7682319135501778      0.8779182
      26.7682075020108279      0.8567359
      26.7681830904714744      0.8411983
      26.7681586789321244      0.8581065
      26.7681342673927709      0.8599899
      26.7681098558534210      0.8665117
      26.7680854443140710      0.8240603
      26.7680610327747175      0.8569577
      26.7680366212353675      0.8523082
      26.7680122096960176      0.8488105
      26.7679877981566641      0.8642911
      26.7679633866173141      0.8553143
      26.7679389750779642      0.8904901
      26.7679145635386107      0.8545835
      26.7678901519992607      0.8609697
      26.7678657404599107      0.8510597
      26.7678413289205572      0.8229734
      26.7678169173812073      0.9151320
      26.7677925058418573      0.8754705
      26.7677680943025038      0.8597650
      26.7677436827631539      0.8999335
      26.7677192712238039      0.8696508
      26.7676948596844504      0.8809898
      26.7676704481451004      0.8999553
      26.7676460366057505      0.9062802
      26.7676216250663970      0.8667906
      26.7675972135270470      0.9115837
      26.7675728019876971      0.9050568
      26.7675483904483436      0.9035764
      26.7675239789089972      0.9023033
      26.7674995673696436      0.9209172
      26.7674751558302901      0.8983865
      26.7674507442909437      0.8883256
      26.7674263327515902      0.9059138
      26.7674019212122367      0.8831910
      26.7673775096728903      0.8787567
      26.7673530981335368      0.8888912
      26.7673286865941833      0.9184909
      26.7673042750548369      0.8642555
      26.7672798635154834      0.9301437
      26.7672554519761299      0.8670087
      26.7672310404367835      0.9736486
      26.7672066288974300      0.9102076
      26.7671822173580765      0.8755218
      26.7671578058187301      0.9480292
      26.7671333942793765      0.9150637
      26.7671089827400230      0.9180467
      26.7670845712006766      0.9281134
      26.7670601596613231      0.9475822
      26.7670357481219696      0.9215497
      26.7670113365826232      0.8996764
      26.7669869250432697      0.9286746
      26.7669625135039162      0.9355158
      26.7669381019645698      0.8981370
      26.7669136904252163      0.8987731
      26.7668892788858628      0.9190975
      26.7668648673465164      0.9375906
      26.7668404558071629      0.9485062
      26.7668160442678094      0.9140196
      26.7667916327284630      0.9116364
      26.7667672211891094      0.9244077
      26.7667428096497595      0.9146884
      26.7667183981104095      0.9341747
      26.7666939865710560      0.9027886
      26.7666695750317061      0.9493484
      26.7666451634923561      0.9472983
      26.7666207519530026      0.9561694
      26.7665963404136527      0.9181613
      26.7665719288743027      1.0056423
      26.7665475173349492      0.9788388
      26.7665231057955992      0.9438354
      26.7664986942562493      0.9996263
      26.7664742827168958      0.9355612
      26.7664498711775458      0.9053953
      26.7664254596381959      0.9658224
      26.7664010480988424      0.9476447
      26.7663766365594924      0.9451366
      26.7663522250201424      0.9666013
      26.7663278134807889      0.9583955
      26.7663034019414390      0.9298729
      26.7662789904020890      1.0060623
      26.7662545788627355      0.9686031
      26.7662301673233856      1.0281143
      26.7662057557840356      0.9452431
      26.7661813442446821      1.0288090
      26.7661569327053321      0.9921418
      26.7661325211659822      0.9701338
      26.7661081096266287      0.9696062
      26.7660836980872787      0.9839547
      26.7660592865479288      0.9726261
      26.7660348750085753      0.9735813
      26.7660104634692253      0.9562654
      26.7659860519298753      1.0342654
      26.7659616403905218      1.0250190
      26.7659372288511719      0.9638509
      26.7659128173118219      0.9967410
      26.7658884057724720      0.9822375
      26.7658639942331185      0.9546838
      26.7658395826937685      0.9522092
      26.7658151711544186      0.9928021
      26.7657907596150650      0.9766192
      26.7657663480757151      1.0027827
      26.7657419365363651      1.0116613
      26.7657175249970116      0.9613311
      26.7656931134576617      0.9972400
      26.7656687019183117      0.9770065
      26.7656442903789582      0.9882195
      26.7656198788396082      0.9743705
      26.7655954673002583      0.9454061
      26.7655710557609048      0.9664018
      26.7655466442215548      1.0016348
      26.7655222326822049      1.0296357
      26.7654978211428514      1.0071393
      26.7654734096035014      0.9808031
      26.7654489980641515      0.9841263
      26.7654245865247979      1.0019808
      26.7654001749854480      0.9824415
      26.7653757634460980      0.9762971
      26.7653513519067445      1.0128042
      26.7653269403673946      1.0354457
      26.7653025288280446      1.0113926
      26.7652781172886911      1.0272460
      26.7652537057493412      1.0235461
      26.7652292942099912      1.0559946
      26.7652048826706377      1.0322856
      26.7651804711312877      0.9973403
      26.7651560595919378      1.0114331
      26.7651316480525843      0.9788977
      26.7651072365132343      1.0318780
      26.7650828249738844      0.9851664
      26.7650584134345308      1.0294945
      26.7650340018951844      1.0387163
      26.7650095903558309      0.9929203
      26.7649851788164774      1.0309618
      26.7649607672771310      1.0191209
      26.7649363557377775      0.9990207
      26.7649119441984240      1.0232780
      26.7648875326590776      1.0166807
      26.7648631211197241      1.0132302
      26.7648387095803706      1.0041220
      26.7648142980410242      1.0147654
      26.7647898865016707      1.0105317
      26.7647654749623172      1.0132079
      26.7647410634229708      1.0149219
      26.7647166518836173      1.0058423
      26.7646922403442638      1.0396160
      26.7646678288049173      1.0750247
      26.7646434172655638      1.0810994
      26.7646190057262103      1.0247135
      26.7645945941868639      1.0168151
      26.7645701826475104      1.0257241
      26.7645457711081569      1.0240774
      26.7645213595688105      1.0606641
      26.7644969480294570      1.0373235
      26.7644725364901035      1.0656818
      26.7644481249507571      1.0618707
      26.7644237134114036      0.9953776
      26.7643993018720501      1.0701866
      26.7643748903327037      1.0382873
      26.7643504787933502      1.0393856
      26.7643260672539967      1.0109537
      26.7643016557146503      1.0793247
      26.7642772441752967      1.0269710
      26.7642528326359468      1.0262630
      26.7642284210965968      1.0482317
      26.7642040095572433      1.0288535
      26.7641795980178934      1.0560546
      26.7641551864785434      1.0246950
      26.7641307749391899      1.0507494
      26.7641063633998399      1.0319633
      26.7640819518604900      1.0614872
      26.7640575403211365      1.0821239
      26.7640331287817865      1.0526685
      26.7640087172424366      1.0438637
      26.7639843057030831      0.9869725
      26.7639598941637331      1.0735252
      26.7639354826243832      1.0639755
      26.7639110710850296      1.0310870
      26.7638866595456797      1.0274436
      26.7638622480063297      1.0834401
      26.7638378364669762      1.0973153
      26.7638134249276263      1.0488265
      26.7637890133882763      1.0797681
      26.7637646018489228      0.9989803
      26.7637401903095729      1.0246853
      26.7637157787702229      1.0716664
      26.7636913672308694      1.0594964
      26.7636669556915194      1.0386851
      26.7636425441521695      1.1114918
      26.7636181326128160      1.0686864
      26.7635937210734660      1.0437542
      26.7635693095341161      1.0621653
      26.7635448979947626      1.0412784
      26.7635204864554126      1.0627898
      26.7634960749160626      1.0225514
      26.7634716633767091      1.0532277
      26.7634472518373592      1.0740726
      26.7634228402980092      1.0549802
      26.7633984287586593      1.0948242
      26.7633740172193058      1.0401232
      26.7633496056799558      1.0431926
      26.7633251941406058      1.0232276
      26.7633007826012523      1.0726441
      26.7632763710619024      0.9888021
