Scan:     88          DR21-OH 2011-01-20 +19 37 26.0
                               Counts  
         GHz-LSR                 RR
      26.7704174770416898     -0.0574327
      26.7703930636343728     -0.0587951
      26.7703686502270557     -0.0649066
      26.7703442368197351     -0.0646851
      26.7703198234124180     -0.0707797
      26.7702954100051009     -0.0675833
      26.7702709965977839     -0.0796083
      26.7702465831904632     -0.0635456
      26.7702221697831462     -0.0709062
      26.7701977563758291     -0.0591752
      26.7701733429685085     -0.0561682
      26.7701489295611914     -0.0738241
      26.7701245161538743     -0.0646439
      26.7701001027465537     -0.0628690
      26.7700756893392366     -0.0587946
      26.7700512759319196     -0.0646225
      26.7700268625246025     -0.0641320
      26.7700024491172819     -0.0545490
      26.7699780357099648     -0.0535612
      26.7699536223026477     -0.0527914
      26.7699292088953271     -0.0626741
      26.7699047954880101     -0.0612447
      26.7698803820806930     -0.0811642
      26.7698559686733759     -0.0722891
      26.7698315552660553     -0.0680350
      26.7698071418587382     -0.0711232
      26.7697827284514211     -0.0629158
      26.7697583150441005     -0.0651616
      26.7697339016367835     -0.0589182
      26.7697094882294664     -0.0580682
      26.7696850748221458     -0.0679969
      26.7696606614148287     -0.0570011
      26.7696362480075116     -0.0633148
      26.7696118346001946     -0.0796824
      26.7695874211928739     -0.0718553
      26.7695630077855569     -0.0587799
      26.7695385943782398     -0.0515683
      26.7695141809709192     -0.0642515
      26.7694897675636021     -0.0659799
      26.7694653541562850     -0.0525692
      26.7694409407489680     -0.0622457
      26.7694165273416473     -0.0911212
      26.7693921139343303     -0.0625192
      26.7693677005270132     -0.0625033
      26.7693432871196926     -0.0668436
      26.7693188737123755     -0.0450758
      26.7692944603050584     -0.0526905
      26.7692700468977378     -0.0683723
      26.7692456334904207     -0.0641923
      26.7692212200831037     -0.0685379
      26.7691968066757866     -0.0629214
      26.7691723932684660     -0.0509754
      26.7691479798611489     -0.0596362
      26.7691235664538318     -0.0656913
      26.7690991530465112     -0.0545423
      26.7690747396391941     -0.0551550
      26.7690503262318771     -0.0788213
      26.7690259128245600     -0.0618101
      26.7690014994172394     -0.0470724
      26.7689770860099223     -0.0594898
      26.7689526726026052     -0.0671315
      26.7689282591952846     -0.0721219
      26.7689038457879676     -0.0637641
      26.7688794323806505     -0.0462583
      26.7688550189733299     -0.0571076
      26.7688306055660128     -0.0744072
      26.7688061921586957     -0.0707027
      26.7687817787513787     -0.0557585
      26.7687573653440580     -0.0608425
      26.7687329519367410     -0.0597440
      26.7687085385294239     -0.0582635
      26.7686841251221033     -0.0687646
      26.7686597117147862     -0.0756569
      26.7686352983074691     -0.0644775
      26.7686108849001521     -0.0446258
      26.7685864714928314     -0.0612172
      26.7685620580855144     -0.0914511
      26.7685376446781973     -0.0635719
      26.7685132312708767     -0.0703654
      26.7684888178635596     -0.0707900
      26.7684644044562425     -0.0675666
      26.7684399910489219     -0.0591067
      26.7684155776416048     -0.0527461
      26.7683911642342878     -0.0559307
      26.7683667508269707     -0.0632384
      26.7683423374196501     -0.0647287
      26.7683179240123330     -0.0596019
      26.7682935106050159     -0.0666155
      26.7682690971976953     -0.0494935
      26.7682446837903782     -0.0543646
      26.7682202703830612     -0.0618269
      26.7681958569757441     -0.0733866
      26.7681714435684235     -0.0602632
      26.7681470301611064     -0.0608205
      26.7681226167537893     -0.0572082
      26.7680982033464687     -0.0610045
      26.7680737899391517     -0.0730277
      26.7680493765318346     -0.0590523
      26.7680249631245140     -0.0624232
      26.7680005497171969     -0.0691949
      26.7679761363098798     -0.0525183
      26.7679517229025628     -0.0665690
      26.7679273094952421     -0.0728807
      26.7679028960879251     -0.0735795
