Scan:    100        G34_43MM4 2011-01-20 +20 24 20.0
                               Counts  
         GHz-LSR                 RR
      26.7648965681910092     -0.7202147
      26.7648721560954179     -0.7275898
      26.7648477439998231     -0.7323698
      26.7648233319042319     -0.7268116
      26.7647989198086407     -0.7542541
      26.7647745077130459     -0.7640720
      26.7647500956174511     -0.7251508
      26.7647256835218599     -0.7284808
      26.7647012714262651     -0.7426239
      26.7646768593306739     -0.7379662
      26.7646524472350791     -0.7689480
      26.7646280351394878     -0.7490388
      26.7646036230438966     -0.7480367
      26.7645792109483018     -0.7416168
      26.7645547988527106     -0.7569262
      26.7645303867571194     -0.7303370
      26.7645059746615246     -0.7482455
      26.7644815625659334     -0.7722093
      26.7644571504703386     -0.7775125
      26.7644327383747438     -0.7303588
      26.7644083262791526     -0.7560210
      26.7643839141835578     -0.7422104
      26.7643595020879665     -0.7383345
      26.7643350899923753     -0.7544560
      26.7643106778967805     -0.7513807
      26.7642862658011893     -0.7364621
      26.7642618537055981     -0.7737912
      26.7642374416100033     -0.7692828
      26.7642130295144121     -0.7571220
      26.7641886174188208     -0.7301500
      26.7641642053232260     -0.7569473
      26.7641397932276313     -0.7527174
      26.7641153811320365     -0.7479251
      26.7640909690364452     -0.7496250
      26.7640665569408540     -0.7565054
      26.7640421448452592     -0.7478321
      26.7640177327496680     -0.7288539
      26.7639933206540768     -0.7499804
      26.7639689085584820     -0.7518833
      26.7639444964628908     -0.7340899
      26.7639200843672995     -0.7445442
      26.7638956722717047     -0.7449678
      26.7638712601761135     -0.7547747
      26.7638468480805152     -0.7540070
      26.7638224359849239     -0.7560818
      26.7637980238893327     -0.7562178
      26.7637736117937379     -0.7466236
      26.7637491996981467     -0.7557889
      26.7637247876025555     -0.7680345
      26.7637003755069607     -0.7359119
      26.7636759634113695     -0.7575017
      26.7636515513157782     -0.7700077
      26.7636271392201834     -0.7561771
      26.7636027271245922     -0.7588217
      26.7635783150290010     -0.7401398
      26.7635539029334062     -0.7292564
      26.7635294908378114     -0.7708972
      26.7635050787422166     -0.7572132
      26.7634806666466254     -0.7604639
      26.7634562545510342     -0.7210233
      26.7634318424554394     -0.7547317
      26.7634074303598481     -0.7347519
      26.7633830182642569     -0.7437321
      26.7633586061686621     -0.7543918
      26.7633341940730709     -0.7485808
      26.7633097819774797     -0.7333051
      26.7632853698818849     -0.7441801
      26.7632609577862937     -0.7456793
      26.7632365456906953     -0.7510399
      26.7632121335951041     -0.7486165
      26.7631877214995129     -0.7559484
      26.7631633094039181     -0.7513770
      26.7631388973083268     -0.7558931
      26.7631144852127356     -0.7689958
      26.7630900731171408     -0.7577417
      26.7630656610215496     -0.7395129
      26.7630412489259584     -0.7501726
      26.7630168368303636     -0.7528555
      26.7629924247347724     -0.7613371
      26.7629680126391776     -0.7541736
      26.7629436005435828     -0.7573436
      26.7629191884479916     -0.7491465
      26.7628947763523968     -0.7662985
      26.7628703642568055     -0.7558223
      26.7628459521612143     -0.7478296
      26.7628215400656195     -0.7603846
      26.7627971279700283     -0.7654427
      26.7627727158744371     -0.7613109
      26.7627483037788423     -0.7586140
      26.7627238916832511     -0.7691256
      26.7626994795876563     -0.7710454
      26.7626750674920650     -0.7555199
      26.7626506553964738     -0.7783646
      26.7626262433008755     -0.7530333
      26.7626018312052842     -0.7510056
      26.7625774191096930     -0.7539126
      26.7625530070140982     -0.7552169
      26.7625285949185070     -0.7620288
      26.7625041828229158     -0.7564492
      26.7624797707273210     -0.7603581
      26.7624553586317298     -0.7681739
      26.7624309465361350     -0.7667364
      26.7624065344405437     -0.7718503
