Scan:     36           G31_41 2011-01-20 +14 33 42.0
                                 Ta    
         GHz-LSR                 RR
      26.7613377853638887     -0.9549465
      26.7613133733482655     -1.2500198
      26.7612889613326423     -0.1744255
      26.7612645493170191     -0.8651486
      26.7612401373013995     -1.4427999
      26.7612157252857727     -0.9733956
      26.7611913132701531     -1.0307516
      26.7611669012545335     -0.9307429
      26.7611424892389067     -1.7400106
      26.7611180772232871     -0.9926869
      26.7610936652076639     -1.4471818
      26.7610692531920407     -0.7176524
      26.7610448411764175     -1.5414952
      26.7610204291607978     -0.9298007
      26.7609960171451746     -0.5724308
      26.7609716051295514     -0.7569028
      26.7609471931139282     -0.8463594
      26.7609227810983086     -0.9688477
      26.7608983690826818     -0.9767376
      26.7608739570670622     -1.0599768
      26.7608495450514425     -1.0753101
      26.7608251330358158     -1.7767183
      26.7608007210201961     -1.1416872
      26.7607763090045729     -0.8733187
      26.7607518969889497     -0.9289874
      26.7607274849733265     -0.7818688
      26.7607030729577069     -0.9683036
      26.7606786609420837     -1.1100529
      26.7606542489264605     -0.4229442
      26.7606298369108409     -1.5461034
      26.7606054248952177     -1.3962120
      26.7605810128795945     -0.9254774
      26.7605566008639713     -1.3758091
      26.7605321888483516     -0.5614290
      26.7605077768327249     -1.4183307
      26.7604833648171052     -0.7884488
      26.7604589528014820     -0.8823296
      26.7604345407858588     -0.9378870
      26.7604101287702356     -1.1065255
      26.7603857167546160     -1.0618985
      26.7603613047389963     -0.6051533
      26.7603368927233696     -0.8852289
      26.7603124807077499     -0.3479151
      26.7602880686921267     -0.8897049
      26.7602636566765035     -1.0201749
      26.7602392446608803     -0.5822609
      26.7602148326452607     -0.0953999
      26.7601904206296339     -0.7820088
      26.7601660086140143     -0.9437553
      26.7601415965983911     -0.7774881
      26.7601171845827679     -0.9722959
      26.7600927725671447     -0.8840013
      26.7600683605515250     -0.9966894
      26.7600439485359054     -0.7813216
      26.7600195365202786     -0.5470475
      26.7599951245046590     -0.7391095
      26.7599707124890358     -0.8729799
      26.7599463004734126     -0.4297055
      26.7599218884577894     -0.7809380
      26.7598974764421698     -0.5985785
      26.7598730644265430     -0.4930840
      26.7598486524109234     -0.4605362
      26.7598242403953002     -0.9237362
      26.7597998283796770     -0.7469922
      26.7597754163640573     -0.6681616
      26.7597510043484341     -0.5460604
      26.7597265923328109     -0.6389280
      26.7597021803171877     -0.3390341
